No.,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他,Googleマップ,,,,
134,WASABI,017-0842,大館市,馬喰町11,,0186-49-1839,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=134&query=大館市馬喰町11,,,,
135,ホルモン幸楽大館店,017-0041,大館市,大田面115-1,,0186-43-3811,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=135&query=大館市大田面115-1,,,,
136,トヨタレンタカー大館店,017-0044,大館市,御成町3丁目5-12,,0186-43-0100,12.レンタカー,,https://www.google.com/maps/search/?api=136&query=大館市御成町3丁目5-12,,,,
137,ふるさわおんせん,017-0032,大館市,字新網27,,0186-48-4295,21.その他,宿泊施設,https://www.google.com/maps/search/?api=137&query=大館市字新網27,,,,
138,やまや大館樹海ライン店,017-0041,大館市,字大田面373-1,,0186-59-6110,21.その他,酒店,https://www.google.com/maps/search/?api=138&query=大館市字大田面373-1,,,,
139,やまや大館店,017-0864,大館市,根下戸新町18-84,イオンタウン大館西内,0186-49-7676,21.その他,酒店,https://www.google.com/maps/search/?api=139&query=大館市根下戸新町18-84,,,,
140,サンドラッグ大館東台店,017-0803,大館市,東台2-1-5,,0186-44-6200,21.その他,薬局,https://www.google.com/maps/search/?api=140&query=大館市東台2-1-5,,,,
141,陽気な母さんの店,018-5603,大館市,曲田字家ノ後97-1,,0186-52-3800,21.その他,産地直売所,https://www.google.com/maps/search/?api=141&query=大館市曲田字家ノ後97-1,,,,
142,魚民大館有浦店,017-0043,大館市,有浦2-37-2,,0186-42-2588,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=142&query=大館市有浦2-37-2,,,,
143,ローソン大舘長倉店,017-0895,大館市,長倉112,,0186-49-7559,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=143&query=大館市長倉112,,,,
144,バッグコレクションモリタ　大館いとく店,017-0044,大館市,御成町3-7-58　いとく大館SC　2F,,0186-42-3611,21.その他,ファッション,https://www.google.com/maps/search/?api=144&query=大館市御成町3-7-58　いとく大館SC　2F,,,,
145,オリックスレンタカー大館店,017-0043,大館市,有浦三丁目1-13,,0186-44-4388,12.レンタカー,,https://www.google.com/maps/search/?api=145&query=大館市有浦三丁目1-13,,,,
146,シャンブル　大館店,017-0872,大館市,片山町3-1-8,,0186-44-6700,21.その他,,https://www.google.com/maps/search/?api=146&query=大館市片山町3-1-8,,,,
147,バースデイ　大館店,017-0041,大館市,大田面40,,0186-44-5323,21.その他,,https://www.google.com/maps/search/?api=147&query=大館市大田面40,,,,
148,アベイル　大館店,017-0041,大館市,大田面40,,0186-44-4130,21.その他,,https://www.google.com/maps/search/?api=148&query=大館市大田面40,,,,
149,しまむら　大館店,017-0046,大館市,清水町5-3-1,,0186-45-1262,21.その他,,https://www.google.com/maps/search/?api=149&query=大館市清水町5-3-1,,,,
150,アマリリス　しんこや,017-0846,大館市,常盤木町2-4,,0186-49-1225,3.小売（お土産等）,,https://www.google.com/maps/search/?api=150&query=大館市常盤木町2-4,,,,
151,kyulala大館,017-0041,大館市,大田面238,,0186-44-5562,21.その他,ファッション,https://www.google.com/maps/search/?api=151&query=大館市大田面238,,,,
152,(有)栗久,017-0843,大館市,字中町38番地,,0186-42-0514,3.小売（お土産等）,,https://www.google.com/maps/search/?api=152&query=大館市字中町38番地,,,,
153,オカモトセルフ大館店,017-0043,大館市,有浦1丁目6-18,,0186-44-4610,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=153&query=大館市有浦1丁目6-18,,,,
154,吉野家大館清水店,017-0046,大館市,清水2丁目1-1,,0186-49-8755,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=154&query=大館市清水2丁目1-1,,,,
155,ラグノオ　いとく片山店,017-0872,大館市,片山町2-4-1,,0186-42-7300,21.その他,スイーツ,https://www.google.com/maps/search/?api=155&query=大館市片山町2-4-1,,,,
156,ラグノオ　いとく大舘東店,017-0803,大館市,東台2-1-9,,0186-49-6311,21.その他,スイーツ,https://www.google.com/maps/search/?api=156&query=大館市東台2-1-9,,,,
157,ラグノオ　いとく大舘ショッピングセンター店,017-0044,大館市,御成町3-7-58,,0186-49-1330,21.その他,スイーツ,https://www.google.com/maps/search/?api=157&query=大館市御成町3-7-58,,,,
158,ケーズデンキ　大館店,017-0046,大館市,清水2-2-70,,0186-43-3311,21.その他,家電量販店,https://www.google.com/maps/search/?api=158&query=大館市清水2-2-70,,,,
159,ホテルルートイン大館駅南,017-0045,大館市,中道2-1-60,,0186-44-6055,21.その他,宿泊施設,https://www.google.com/maps/search/?api=159&query=大館市中道2-1-60,,,,
160,柴田慶信商店秋田本店,017-0044,大館市,御成町2丁目15-28,,0186-42-6123,3.小売（お土産等）,,https://www.google.com/maps/search/?api=160&query=大館市御成町2丁目15-28,,,,
161,柴田慶信商店わっぱビルヂング店,017-0044,大館市,御成町1丁目12-27,,0186-59-7123,3.小売（お土産等）,,https://www.google.com/maps/search/?api=161&query=大館市御成町1丁目12-27,,,,
162,有限会社日景石油,017-0012,大館市,釈迦内字釈迦内187-3,,0186-48-3505,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=162&query=大館市釈迦内字釈迦内187-3,,,,
163,デイリーヤマザキ大館東台店,017-0803,大館市,東台4-2-31,,0186-42-6300,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=163&query=大館市東台4-2-31,,,,
164,秋北バス　株式会社,017-8585,大館市,御成町一丁目１１番２５号,,0186-42-3536,6.バス,,https://www.google.com/maps/search/?api=164&query=大館市御成町一丁目１１番２５号,,,,
165,秋北バス大館営業所,017-0044,大館市,御成町2-17-21,,0186-43-3010,6.バス,,https://www.google.com/maps/search/?api=165&query=大館市御成町2-17-21,,,,
166,NewDays 大館,017-0052,大館市,御成町1-3-1,,0186-45-1580,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=166&query=大館市御成町1-3-1,,,,
167,とりでん大館店,017-0841,大館市,大町91-1,,0186-49-4194,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=167&query=大館市大町91-1,,,,
168,ローソン　大館曲田店,018-5603,大館市,曲田字曲田3-1,,0186-52-3534,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=168&query=大館市曲田字曲田3-1,,,,
169,ファミリーマート大館清水四丁目店,017-0046,大館市,清水四丁目4-33,,0186-44-4600,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=169&query=大館市清水四丁目4-33,,,,
170,道の駅ひない,018-5701,大館市,比内町扇田字大堤下93-11,,0186-55-1000,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=170&query=大館市比内町扇田字大堤下93-11,,,,
171,秋北タクシー(株),017-0043,大館市,御成町1-11-25,,0186-42-3533,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=171&query=大館市御成町1-11-25,,,,
172,アスビーファム新大館店,017-0041,大館市,大田面238,イオンスーパーセンター大舘店内,0186-44-6525,21.その他,衣料品店,https://www.google.com/maps/search/?api=172&query=大館市大田面238,,,,
173,（株）サンデー　ホームマート比内店,018-5701,大館市,比内町扇田字長岡下13番地1,,0186-45-4171,21.その他,ホームセンター,https://www.google.com/maps/search/?api=173&query=大館市比内町扇田字長岡下13番地1,,,,
174,有限会社つばさ観光,017-0878,大館市,川口字洞バミ45-8,,0186-42-0283,6.バス,,https://www.google.com/maps/search/?api=174&query=大館市川口字洞バミ45-8,,,,
175,焼肉　次今,017-0044,大館市,御成町1－10－4,,0186-42-9229,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=175&query=大館市御成町1－10－4,,,,
176,イオンスーパーセンター大館店,017-0041,大館市,字大田面238番,,0186-44-6800,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=176&query=大館市字大田面238番,,,,
177,ローソン大館御成町二丁目店,017-0044,大館市,御成町2-179,,0186-43-5088,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=177&query=大館市御成町2-179,,,,
178,ローソン　大館釈迦内南店,017-0012,大館市,釈迦内字稲荷山下280-1,,0186-48-2406,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=178&query=大館市釈迦内字稲荷山下280-1,,,,
179,ローソン　大館川口店,017-0878,大館市,川口字大人沢117-1,,0186-49-0873,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=179&query=大館市川口字大人沢117-1,,,,
180,いとく大館ショッピングセンター,017-0044,大館市,御成町３丁目7-58,,0186-49-1717,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=180&query=大館市御成町３丁目7-58,,,,
181,いとく比内店,018-5701,大館市,比内町扇田字中扇田41,,0186-55-3311,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=181&query=大館市比内町扇田字中扇田41,,,,
182,いとく片山店,017-0872,大館市,片山町２丁目4-1,,0186-44-8200,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=182&query=大館市片山町２丁目4-1,,,,
183,いとく樹海店,017-0041,大館市,字大田面19,,0186-44-5522,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=183&query=大館市字大田面19,,,,
184,いとく大館東店,017-0803,大館市,東台２丁目1-9,,0186-44-4400,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=184&query=大館市東台２丁目1-9,,,,
185,いとく大館ショッピングセンター　ファミリーレストラントーク,017-0044,大館市,御成町３丁目47-58,,0186-49-1717,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=185&query=大館市御成町３丁目47-58,,,,
186,大館カントリークラブ,018-5701,大館市,比内町扇田字横沢128-1,,0186-55-0654,16.スポーツ,,https://www.google.com/maps/search/?api=186&query=大館市比内町扇田字横沢128-1,,,,
187,ローソン　大館一心院店,017-0825,大館市,字一心院南43-2,,0186-43-5599,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=187&query=大館市字一心院南43-2,,,,
188,自然食品専門店　健生堂,017-0896,大館市,字大館85-2,,0186-49-4425,21.その他,自然食品専門店,https://www.google.com/maps/search/?api=188&query=大館市字大館85-2,,,,
189,ローソン大館二井田店,018-5751,大館市,二井田字陣下114,,0186-43-6642,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=189&query=大館市二井田字陣下114,,,,
190,マルホンカウボーイ大館店,017-0043,大館市,有浦2丁目3-60,,0186-42-0801,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=190&query=大館市有浦2丁目3-60,,,,
191,マルホンカウボーイベル比内店,018-5701,大館市,比内町扇田字伊勢堂岱117,,0186-45-4100,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=191&query=大館市比内町扇田字伊勢堂岱117,,,,
192,ザ・ビッグ大館西店,017-0864,大館市,根下戸新町18-83,,0186-49-1001,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=192&query=大館市根下戸新町18-83,,,,
193,ザ・ビッグ釈迦内店,017-0012,大館市,釈迦内字稲荷山下294,,0186-45-2311,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=193&query=大館市釈迦内字稲荷山下294,,,,
194,ザ・ビッグ大館南店,017-0837,大館市,餌釣字前田200,,0186-49-8820,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=194&query=大館市餌釣字前田200,,,,
195,ローソン大館釈迦内店,017-0012,大館市,釈迦内字釈迦内195-4,,0186-48-6646,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=195&query=大館市釈迦内字釈迦内195-4,,,,
196,ファミリーマート大館片山町3丁目店,017-0872,大館市,片山町3丁目6-2,,0186-44-4070,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=196&query=大館市片山町3丁目6-2,,,,
197,ファミリーマート大館常盤木町店,017-0846,大館市,常盤木町１５番１６号,,0186-44-7205,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=197&query=大館市常盤木町１５番１６号,,,,
198,ファミリーマート大館住吉町店,017-0875,大館市,住吉町3-21,,0186-44-7222,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=198&query=大館市住吉町3-21,,,,
199,ココス大館店,017-0872,大館市,片山町3-6-7,,0186-44-5601,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=199&query=大館市片山町3-6-7,,,,
200,牛角　大館店,017-0841,大館市,大町91-1,,0186-45-1129,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=200&query=大館市大町91-1,,,,
201,ファミリーマート　秋田大館向町店,017-0828,大館市,字向町16-2,,0186-49-8005,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=201&query=大館市字向町16-2,,,,
202,ローソン　大館東台店,017-0803,大館市,東台5-2-106,,0186-42-4611,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=202&query=大館市東台5-2-106,,,,
203,ローソン　大館山館店,017-0838,大館市,山館字大川添８,,0186-43-9936,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=203&query=大館市山館字大川添８,,,,
204,ファミリーマート大館大田面店,017-0041,大館市,字大田面388-1,,0186-44-6030,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=204&query=大館市字大田面388-1,,,,
205,ファミリーマート大館川口店,017-0877,大館市,立花字屋敷前73,,0186-49-8640,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=205&query=大館市立花字屋敷前73,,,,
206,ファミリーマート秋田大館中山店,017-0839,大館市,中山字兎沢20-6,,0186-44-5188,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=206&query=大館市中山字兎沢20-6,,,,
207,ファミリーマート大館ドーム前店,017-0032,大館市,字新綱20,,0186-45-2888,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=207&query=大館市字新綱20,,,,
208,ヤマダデンキ　テックランド大館店,017-0033,大館市,下網327-1,,0186-44-6400,21.その他,家電,https://www.google.com/maps/search/?api=208&query=大館市下網327-1,,,,
209,日景温泉,017-0001,大館市,長走37,,0186-51-2011,21.その他,宿泊施設,https://www.google.com/maps/search/?api=209&query=大館市長走37,,,,
210,薬王堂　大館比内店,018-5701,大館市,比内町扇田字新長岡44番地,,0186-57-8901,21.その他,薬局,https://www.google.com/maps/search/?api=210&query=大館市比内町扇田字新長岡44番地,,,,
211,蔵Cafeレストラン康瓏堂,017-0046,大館市,清水1丁目3-37,,0186-59-8319,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=211&query=大館市清水1丁目3-37,,,,
212,ローソン　大館美園町店,017-0874,大館市,美園町4-1,,0186-59-6400,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=212&query=大館市美園町4-1,,,,
213,四季美館　前田商業会売店,018-4515,北秋田市,阿仁前田字大道上３番地１,,0186-75-3570,3.小売（お土産等）,,https://www.google.com/maps/search/?api=213&query=北秋田市阿仁前田字大道上３番地１,,,,
214,マックハウスイオンタウンたかのすＳＣ,018-3302,北秋田市,中綱31-1イオンタウンたかのすSC,,0186-62-5455,21.その他,衣料品小売業,https://www.google.com/maps/search/?api=214&query=北秋田市中綱31-1イオンタウンたかのすSC,,,,
