No.,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
959,こまちタクシー企業組合,011-0906,秋田市,寺内後城22-2,,018-838-5281,7.ハイヤー・タクシー,
960,セブンイレブン秋田山王大通り店,010-0951,秋田市,山王二丁目4-30,,018-865-2322,4.コンビニ・スーパー,
961,JINS 秋田アルス店,010-0001,秋田市,秋田市中通7丁目2-1,JR秋田駅ビルアルス　1F,018-836-5161,21.その他,眼鏡
962,安田タクシー,010-0925,秋田市,旭南３丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
963,合資会社　加藤本店,010-0001,秋田市,中通四丁目７番35号,,018-832-2940,3.小売（お土産等）,
964,ローソン　秋田土崎港西三丁目店,011-0945,秋田市,土崎港西三丁目1-34,,018-847-1537,4.コンビニ・スーパー,
965,ビアカフェあくら,010-0921,秋田市,大町一丁目2-40,,018-862-1841,2.飲食店（酒類提供あり）,
966,レストランプラッツ,010-0921,秋田市,大町一丁目2-40,,018-883-4366,2.飲食店（酒類提供あり）,
967,いとく新国道店,010-0967,秋田市,高陽幸町14-27,,018-896-1133,4.コンビニ・スーパー,
968,いとく秋田東店,010-0041,秋田市,広面字家ノ下72-3,,018-884-1109,4.コンビニ・スーパー,
969,いとく土崎みなと店,011-0945,秋田市,土崎港西３丁目2-18,,018-816-0060,4.コンビニ・スーパー,
970,いとく川尻店,010-0945,秋田市,川尻みよし町18-1,,018-896-0077,4.コンビニ・スーパー,
971,いとく自衛隊通店,011-0941,秋田市,土崎港北二丁目17-60,,018-846-6655,4.コンビニ・スーパー,
972,吾作ラーメン　山王店,010-0923,秋田市,旭北錦町4-52,,018-865-5391,2.飲食店（酒類提供あり）,
973,吾作ラーメン　広面店,010-0041,秋田市,広面糠塚117-1,,018-837-5391,2.飲食店（酒類提供あり）,
974,吾作ラーメン　御所野店,010-1413,秋田市,御所野地蔵田2-1-49,,018-838-5391,2.飲食店（酒類提供あり）,
975,高尾ハイヤー,010-1421,秋田市,仁井田本町1-1-8,,018-839-2234,7.ハイヤー・タクシー,
976,石井スポーツ　秋田店,010-1414,秋田市,御所野元町1-1-15,フレスポ御所野 1階,018-892-7291,21.その他,スポーツ用品
977,キングタクシー本社営業所,010-0923,秋田市,旭北錦町3-46,,018-863-6857,7.ハイヤー・タクシー,
978,秋田港交通,011-0946,秋田市,土崎港中央一丁目15-34,,018-845-1777,7.ハイヤー・タクシー,
979,ドン・キホーテ秋田店,010-0923,秋田市,旭北錦町4-58,,018-864-3810,3.小売（お土産等）,
980,セリオンキッチン,011-0945,秋田市,土崎港西1丁目9-1,,018-857-0033,2.飲食店（酒類提供あり）,
981,天酔,010-0966,秋田市,高陽青柳町1-38,丸孝ビル1F,018-863-9179,2.飲食店（酒類提供あり）,
982,プロント秋田オーパ店,010-0874,秋田市,千秋久保田町4-2,,018-838-6177,2.飲食店（酒類提供あり）,
983,プリテールプロント秋田サービスステーション,010-0041,秋田市,広面字谷地沖30-1,,018-831-1500,1.飲食店（酒類提供なし）,
984,タイムステーションＮＥＯ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-829-3737,21.その他,時計
985,ボーイズルーム,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6741,21.その他,衣料品店
986,すき家,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,0120-498-007,1.飲食店（酒類提供なし）,
987,ローソン　秋田土崎港南二丁目店,011-0943,秋田市,土崎港南2-5-16,,018-846-7400,4.コンビニ・スーパー,
988,マツモトキヨシ　イオンモール秋田店,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-826-1140,3.小売（お土産等）,
989,はるやま秋田山手台店,010-1429,秋田市,山手台1-1-9,,018-829-3650,21.その他,衣料品店
990,ローソン　秋田御所野店,010-1413,秋田市,秋田市御所野地蔵田2-1-5,,018-829-3901,4.コンビニ・スーパー,
991,ローソン　秋田御所野堤台一丁目店,010-1419,秋田市,秋田市御所野堤台1-1-3,,018-839-2031,4.コンビニ・スーパー,
992,ＥＳＳＥＮＣＥ,010-0874,秋田市,千秋久保田町4-2,秋田ＯＰＡ１階,018-827-6151,21.その他,衣料品小売業
993,南部家敷　御野場店,010-1421,秋田市,仁井田本町5丁目10-16,,018-829-2148,2.飲食店（酒類提供あり）,
994,南部家敷　八橋店,010-0977,秋田市,八橋大道東1-3,,018-824-6800,2.飲食店（酒類提供あり）,
995,南部家敷　茨島店,010-0065,秋田市,茨島4丁目3-17,,018-896-5200,2.飲食店（酒類提供あり）,
996,南部家敷　広面店,010-0041,秋田市,広面字鍋沼14-1,,018-887-3060,2.飲食店（酒類提供あり）,
997,南部家敷　イオンモール秋田店,010-1413,秋田市,御所野地蔵田1-1-1,,018-892-6380,2.飲食店（酒類提供あり）,
998,奥州南部そば,010-1413,秋田市,御所野地蔵田1-1-1,,018-839-8558,2.飲食店（酒類提供あり）,
999,六星軒　イオンモール秋田店,010-1413,秋田市,御所野地蔵田1-1-1,,018-853-8876,2.飲食店（酒類提供あり）,
1000,南部家敷　外旭川支店,010-0802,秋田市,外旭川字小谷地65-1,,018-869-7320,2.飲食店（酒類提供あり）,
1001,ドトールコーヒーショップ　秋田トピコ店,010-0001,秋田市,中通七丁目2番1号,,018-836-5403,1.飲食店（酒類提供なし）,
1002,ファミリーマート秋田　南大橋店,010-1651,秋田市,豊岩石田坂字上野270,,018-888-8750,4.コンビニ・スーパー,
1003,イオン秋田中央店,010-0029,秋田市,楢山川口境5-11,,018-837-3000,4.コンビニ・スーパー,
1004,ローソン　秋田北インター店,010-0136,秋田市,上新城中字南波掛17-1,,018-872-3855,4.コンビニ・スーパー,
1005,ファミリーマート秋田横森店,010-0044,秋田市,横森3-11-49,,018-889-2152,4.コンビニ・スーパー,
1006,イオンスタイル御所野店,010-1413,秋田市,御所野地蔵田1-1-1,,018-889-6611,4.コンビニ・スーパー,
1007,イオン土崎港店,011-0943,秋田市,土崎港南2-3-41,,018-846-1221,4.コンビニ・スーパー,
1008,ヤマダデンキYAMADAweb.com秋田御所野店,010-1419,秋田市,御所野堤台1-3-2,,018-825-3010,21.その他,家電
1009,翁屋開運堂,010-0021,秋田市,楢山登町3-1,,018-836-2220,3.小売（お土産等）,
1010,ラッシュ　イオンモール秋田店,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-829-1130,21.その他,化粧品
1011,ファミリーマート秋田桜一丁目店,010-0042,秋田市,桜一丁目7-21,,018-884-1520,4.コンビニ・スーパー,
1012,FCドジャース食堂,010-0851,秋田市,手形字西谷地413,,018-834-3773,2.飲食店（酒類提供あり）,
1013,ドジャース食品館,010-0942,秋田市,川尻大川町8-25,,018-827-7200,4.コンビニ・スーパー,
1014,ドジャース本館,010-0956,秋田市,山王臨海町4-37,,018-864-0621,4.コンビニ・スーパー,
1015,イオン土崎港店（食品フロア）,011-0943,秋田市,土崎港南2-3-41,,018-846-1221,4.コンビニ・スーパー,
1016,イオン秋田中央店（食品フロア）,010-0029,秋田市,楢山川口境5-11,,018-837-3000,4.コンビニ・スーパー,
1017,イオンスタイル御所野（食品フロア）,010-1413,秋田市,御所野地蔵田1-1-1,,018-889-6611,4.コンビニ・スーパー,
1018,コミックバスターアルヴェ秋田駅東口店,010-8506,秋田市,東通仲町4-1,秋田拠点センターアルヴェ2F,018-884-7472,20.遊興施設（ネットカフェ、漫画喫茶等）,
1019,ファミリーマート秋田広面北店,010-0041,秋田市,広面字近藤堰越83-3,,018-825-9605,4.コンビニ・スーパー,
1020,ファミリーマート秋田添川店,010-0822,秋田市,添川字境内川原1-1,,018-825-9666,4.コンビニ・スーパー,
1021,ファミリーマート秋田広面鍋沼店,010-0041,秋田市,広面字鍋沼27-6,,018-884-3450,4.コンビニ・スーパー,
1022,やきとりセンター　秋田駅前店,010-0874,秋田市,千秋久保田町3-18,森ビル１Ｆ,018-831-9660,2.飲食店（酒類提供あり）,
1023,暖や　秋田大学病院前店,010-0041,秋田市,広面字蓮沼16-1,,018-835-3819,2.飲食店（酒類提供あり）,
1024,あきた県都交通,011-0902,秋田市,寺内堂ノ沢1-7-21,,018-893-4660,7.ハイヤー・タクシー,
1025,グルメ回転寿司　函太郎　秋田広面店,010-0041,秋田市,広面樋ノ沖96-1,,018-853-0677,2.飲食店（酒類提供あり）,
1026,ドジャース広面店,010-0041,秋田市,広面字宮田20-1,,018-837-3880,4.コンビニ・スーパー,
1027,ドジャース楢山店,010-0013,秋田市,南通築地15-36,,018-832-1018,4.コンビニ・スーパー,
1028,ドジャース新屋店,010-1637,秋田市,新屋扇町7-44,,018-888-8055,4.コンビニ・スーパー,
1029,マックスバリュエクスプレス新屋関町店,010-1623,秋田市,新屋町字関町後202-2,,018-888-9922,4.コンビニ・スーパー,
1030,マックスバリュ広面店,010-0041,秋田市,広面字堤敷19,,018-834-2828,4.コンビニ・スーパー,
1031,マックスバリュ港北店,011-0941,秋田市,土崎港北7-2-20,,018-880-5711,4.コンビニ・スーパー,
1032,マックスバリュ河辺店,019-2601,秋田市,河辺和田字北条ヶ崎14-8,,018-882-3008,4.コンビニ・スーパー,
1033,イオンスタイル茨島,010-0065,秋田市,茨島4-3-18,,018-896-5211,4.コンビニ・スーパー,
1034,マックスバリュ泉店,010-0916,秋田市,泉北1-11-17,,018-888-3222,4.コンビニ・スーパー,
1035,ポルミート　安藤醸造　秋田市民市場内,010-0001,秋田市,中通4-7-35,市民市場内,018-874-8672,3.小売（お土産等）,
1036,しふぉん,010-0001,秋田市,中通4-7-35,市民市場内,090-4315-4246,21.その他,ファッション雑貨・アパレル
1037,ひよこカレー秋田駅前店,010-0001,秋田市,中通6丁目9-10,,018-853-0565,2.飲食店（酒類提供あり）,
1038,寧々家　秋田駅前店,010-0874,秋田市,千秋久保田町2-54,,018-884-0755,2.飲食店（酒類提供あり）,
1039,寧々家　秋田泉店,010-0918,秋田市,泉南1-2-10　２Ｆ,,018-864-3611,2.飲食店（酒類提供あり）,
1040,ローソン秋田さくら店,010-0042,秋田市,桜2-17-11,,018-831-6651,4.コンビニ・スーパー,
1041,ローソン秋田旭北錦町店,010-0923,秋田市,旭北錦町4-70,,018-866-1222,4.コンビニ・スーパー,
1042,アスビーファム秋田茨島店,010-0065,秋田市,茨島4-3-21,茨島ショッピングセンター内,018-896-5158,21.その他,衣料品店
1043,セブンイレブン秋田手形西谷地店,010-0851,秋田市,手形字西谷地31,,018-836-5371,4.コンビニ・スーパー,
1044,セブンイレブンフォンテ秋田店,010-0001,秋田市,中通2-8-1,,018-834-9011,4.コンビニ・スーパー,
1045,ファミリーマート　秋田手形店,010-0851,秋田市,手形西谷地171-1,,018-889-2010,4.コンビニ・スーパー,
1046,ファミリーマート秋田下新城琵琶沼店,010-0146,秋田市,下新城中野字琵琶沼385-2,,018-872-4311,4.コンビニ・スーパー,
1047,ファミリーマート土手長町通り店,010-0001,秋田市,中通5-1-1,,018-889-1065,4.コンビニ・スーパー,
1048,ファミリーマート秋田ぽぽろーど店,010-0001,秋田市,中通2-6-44,,018-889-1080,4.コンビニ・スーパー,
1049,ファミリーマート秋田東通り店,010-0003,秋田市,東通6-9-33,,018-825-9602,4.コンビニ・スーパー,
1050,ローソン　秋田土崎港中央五丁目店,011-0946,秋田市,土崎港中央5-3-2,,018-847-7105,4.コンビニ・スーパー,
1051,ファミリーマート秋田中央市場前店,010-0802,秋田市,外旭川字待合25-1,,018-869-7960,4.コンビニ・スーパー,
1052,ファミリーマート外旭川店,010-0802,秋田市,外旭川八幡田1-1-5,,018-869-9221,4.コンビニ・スーパー,
1053,ファミリーマート秋田寺内イサノ店,011-0901,秋田市,寺内イサノ27-1,,018-883-1150,4.コンビニ・スーパー,
1054,ファミリーマート秋田山王臨海町店,010-0965,秋田市,山王臨海町4-28,,018-883-3660,4.コンビニ・スーパー,
1055,ファミリーマート秋田新屋扇町店,010-1637,秋田市,新屋扇町2-22,,018-888-8233,4.コンビニ・スーパー,
1056,ファミリーマート秋田中通六丁目店,010-0001,秋田市,中通6-3-20,,018-825-9488,4.コンビニ・スーパー,
1057,ファミリーマート秋田中央インター通店,010-0041,秋田市,広面字樋口１１６－１,,018-825-9577,4.コンビニ・スーパー,
1058,ファミリーマート秋田牛島東五丁目店,010-0062,秋田市,牛島東5丁目3-25,,018-825-9580,4.コンビニ・スーパー,
1059,ファミリーマート秋田広面板橋添店,010-0041,秋田市,広面字板橋添307,,018-825-9522,4.コンビニ・スーパー,
1060,ファミリーマート秋田仁井田栄町店,010-1433,秋田市,仁井田栄町1-1,,018-892-7635,4.コンビニ・スーパー,
1061,ファミリーマート秋田南通宮田店,010-0014,秋田市,南通宮田16-46,,018-825-9446,4.コンビニ・スーパー,
1062,ファミリーマート秋田中通四丁目店,010-0001,秋田市,中通４丁目7-35,,018-825-9633,4.コンビニ・スーパー,
1063,中通温泉こまちの湯　ドーミーイン秋田,010-0001,秋田市,中通2-3-1,,018-835-6777,21.その他,宿泊施設
1064,コジマ×ビックカメラ卸団地店,010-0061,秋田市,卸町2-3-12,,018-883-1661,21.その他,家電
1065,比内地鶏生産責任者の店　本家あべや秋田店,010-0001,秋田市,中通1-4,エリアなかいち商業施設内１Ｆ,018-825-1180,2.飲食店（酒類提供あり）,
1066,木もれ陽のテラス,010-1421,秋田市,仁井田本町5-11-2,,018-826-0422,1.飲食店（酒類提供なし）,
1067,クレアシオン,010-1421,秋田市,仁井田本町5-11-2,,018-826-0421,1.飲食店（酒類提供なし）,
1068,ローソン秋田茨島六丁目店,010-0065,秋田市,茨島6-11-2,,018-866-4073,4.コンビニ・スーパー,
1069,ファミリーマート秋田雄和店,010-1201,秋田市,雄和田草川字太田2-1,,018-881-3006,4.コンビニ・スーパー,
1070,ファミリーマート秋田寺内神屋敷店,011-0905,秋田市,寺内字神屋敷79-3,,018-880-6116,4.コンビニ・スーパー,
1071,ローソン秋田仁井田本町店,010-1421,秋田市,仁井田本町4-1-30,,018-829-2533,4.コンビニ・スーパー,
1072,ファミリーマート秋田手形山崎店,010-0854,秋田市,手形山崎町8-27,,018-884-0750,4.コンビニ・スーパー,
1073,四六時中　秋田御所野店,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-826-1778,2.飲食店（酒類提供あり）,
1074,パティスリーパルテール　秋田西武店,010-8505,秋田市,中通2-6-1,地下レストラン街,018-874-7174,1.飲食店（酒類提供なし）,
1075,ローソン秋田土崎港北7丁目店,011-0941,秋田市,土崎港北7-2-40,,018-845-4386,4.コンビニ・スーパー,
1076,ココスイオン秋田中央店,010-0029,秋田市,楢山川口境5-11,イオン秋田中央店1階,018-884-4662,2.飲食店（酒類提供あり）,
1077,ローソン　秋田山王けやき通店,010-0951,秋田市,山王1-7-4,,018-866-2338,4.コンビニ・スーパー,
1078,ローソン　秋田市役所店,010-1951,秋田市,山王１‐１‐１,,018-853-8780,4.コンビニ・スーパー,
1079,ファミリーマート秋田八橋本町店,010-0973,秋田市,八橋本町３－２０－２３,,018-883-3930,4.コンビニ・スーパー,
1080,ローソン秋田外旭川天徳寺通店,010-0802,秋田市,外旭川字水口36-1,,018-888-6182,4.コンビニ・スーパー,
1081,ローソン秋田山王中園店,010-0953,秋田市,山王中園町11-20,,018-864-0720,4.コンビニ・スーパー,
1082,ローソン秋田仁井田栄町店,010-1433,秋田市,仁井田栄町10-24,,018-839-2686,4.コンビニ・スーパー,
1083,(株)タクシーセンターあい外旭川営業所,010-0803,秋田市,外旭川柳3-16,,018-866-5225,7.ハイヤー・タクシー,
1084,nico,010-0951,秋田市,山王４丁目６－２６山王９Ｋビル１－Ｃ,,018-863-3352,1.飲食店（酒類提供なし）,
1085,ファミリーマート秋田飯島中央店,011-0941,秋田市,土崎港北3丁目17-41,,018-880-6648,4.コンビニ・スーパー,
1086,ローソン秋田八橋大畑店,010-0962,秋田市,八橋大畑1-4-25,,018-823-5363,4.コンビニ・スーパー,
1087,パティズ,010-1413,秋田市,御所野地蔵田1-1-1,,018-853-7581,21.その他,雑貨店
1088,ローソン秋田新屋大川町店,010-1632,秋田市,新屋大川町10-23,,018-828-0332,4.コンビニ・スーパー,
1089,ファミリーマート秋田土崎港相染町店,011-0951,秋田市,土崎港相染町字中谷地169-2,,018-880-0420,4.コンビニ・スーパー,
1090,ローソン　秋田御野場新町店,010-1425,秋田市,御野場新町2-8-23,,018-839-8801,4.コンビニ・スーパー,
1091,ローソン　秋田新屋鳥木町店,010-1633,秋田市,新屋鳥木町3-1,,018-838-1171,4.コンビニ・スーパー,
1092,NOODLE　BAR　オクト,010-0875,秋田市,千秋明徳町2-10,,018-893-6675,2.飲食店（酒類提供あり）,
1093,ファミリーマート秋田新屋日吉町店,010-1622,秋田市,新屋日吉町16-1,,018-888-8466,4.コンビニ・スーパー,
1094,あさひタクシー本社営業所,010-0063,秋田市,牛島西1-1-11,,018-835-1800,7.ハイヤー・タクシー,
1095,酒のこん,010-0932,秋田市,川元開和町4-9,,018-862-6254,3.小売（お土産等）,
1096,ローソン　雄和石田店,010-1222,秋田市,雄和石田字中大部17-1,,018-886-3667,4.コンビニ・スーパー,
1097,ナイス外旭川店,010-0802,秋田市,外旭川字三後田67,,018-868-2611,4.コンビニ・スーパー,
1098,ダイニング万葉,010-8530,秋田市,中通7-2-1,,018-831-2225,2.飲食店（酒類提供あり）,
1099,レストランクオーレ,010-8530,秋田市,中通7-2-1,,018-831-2225,2.飲食店（酒類提供あり）,
1100,オステリアムーリベッキ,010-0001,秋田市,中通2-2-30,,018-853-5600,2.飲食店（酒類提供あり）,
1101,ブルワリーショップ,014-0112,秋田市,大町1-2-40,,018-862-1841,3.小売（お土産等）,
1102,虎穴,010-0922,秋田市,旭北栄町1-48,,018-838-1062,2.飲食店（酒類提供あり）,
1103,鮨バー金亀,010-0921,秋田市,大町5-1-6,,018-823-6030,2.飲食店（酒類提供あり）,
1104,クアドーム　ザブーン,010-0824,秋田市,仁別字マンタラメ213,,018-827-2301,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1105,秋田市太平山スキー場オーパス,010-0824,秋田市,仁別字蛇馬目沢111,,018-827-2221,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1106,森林学習館,010-0824,秋田市,仁別字マンタラメ210,,018-827-2111,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1107,太平山リゾート公園総合案内所,010-0824,秋田市,仁別字小水沢126,,018-827-2270,14.体験型アクティビティ,
1108,レストランテルサ,010-1413,秋田市,御所野地蔵田3-1-1,,018-826-1800,1.飲食店（酒類提供なし）,
1109,ナイスフォンテAKITA店,010-0001,秋田市,中通2-8-1,フォンテAKITA,018-825-5055,4.コンビニ・スーパー,
1110,有限会社あみもと,010-0921,秋田市,大町1-1-17,,018-863-6785,2.飲食店（酒類提供あり）,
1111,秋田ホテル　スカイグリルブッフェレストラン　空桜　ＳＯＲＡ,010-0001,秋田市,中通2-6-1,,018-832-1111,21.その他,宿泊施設
1112,ｉｉｗａｉｉｗａ　collection,011-0943,秋田市,土崎港南2-3-41,イオン土崎港店１階,018-846-7788,21.その他,雑貨店
1113,ママイクコ　イオン秋田中央,010-0029,秋田市,楢山川口境5-11,イオン秋田中央 1F,018-884-7025,21.その他,雑貨店
1114,ママイクコ　イオンモール秋田,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3Ｆ,018-889-6531,21.その他,雑貨店
1115,メガ仁井田店,010-1421,秋田市,仁井田本町5-9-26,,018-889-9110,21.その他,ドラッグストア
1116,メガ土崎店,011-0951,秋田市,土崎港相染町字沼端77-76,,018-880-2115,21.その他,ドラッグストア
1117,メガ新国道店,011-0964,秋田市,八橋鯲沼町10-11,,018-838-5100,21.その他,ドラッグストア
1118,笹川商店,010-0001,秋田市,中通4-7-35,秋田市民市場内,018-833-8869,3.小売（お土産等）,
1119,ユニクロ秋田茨島店,010-0065,秋田市,茨島1丁目1-35,,018-896-7950,21.その他,アパレル
1120,舟木タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1121,成田タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1122,MORI TAXI,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1123,菅原タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1124,堀井タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1125,河部タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1126,佐邦タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1127,サトウタクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1128,湯瀬タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1129,石塚タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1130,戸巻タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1131,佐々正タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1132,KAZU TAXI,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1133,池田タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1134,勝タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1135,渡辺タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1136,桑原タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1137,徳田タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1138,ササキタクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1139,川口タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1140,伊隆タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1141,秋・大漁タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1142,小山タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1143,大塚タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1144,藤武タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1145,油川タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1146,谷藤タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1147,小松タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1148,福田タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1149,保坂タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1150,佐貞タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1151,高橋タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1152,ふじわらタクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1153,中島タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1154,佐雅タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1155,鎌田タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1156,工藤タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1157,門脇タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1158,木村タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1159,宮崎タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1160,熊地タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1161,阿仁マタギタクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1162,ナガヒロタクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1163,石井タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1164,セブンイレブンホテルメトロポリタン秋田店,010-0001,秋田市,中通7丁目2-1,,018-825-2272,4.コンビニ・スーパー,
1165,カレーハウスCoCo壱番屋ラウンドワン秋田店,010-0061,秋田市,卸町1-1-2,,018-896-5519,2.飲食店（酒類提供あり）,
1166,セブンイレブン秋田寺内堂ノ沢店,011-0902,秋田市,寺内堂ノ沢1-9-16,,018-847-2031,4.コンビニ・スーパー,
1167,焼とん大国　秋田大町店,010-0921,秋田市,大町4-2-2,,018-838-5107,2.飲食店（酒類提供あり）,
1168,ＡＫＩＴＡ　ＢＢＱ　ＴＥＲＲＡＣＥ,010-8530,秋田市,中通7-2-1,ホテルメトロポリタン秋田５Ｆ,018-838-7137,2.飲食店（酒類提供あり）,
1169,セブンイレブン秋田仲小路店,010-0001,秋田市,中通2-1-23,,018-836-0107,4.コンビニ・スーパー,
1170,國酒と料理　墨流し,010-0921,秋田市,大町5-1-19,ＢＢビル2Ｆ,080-4518-1800,2.飲食店（酒類提供あり）,
1171,セブンイレブン秋田山王6丁目店,010-0951,秋田市,山王6-2-14,,018-866-3110,4.コンビニ・スーパー,
1172,ローソン　秋田広面蓮沼店,010-0041,秋田市,広面字蓮沼101-1,,018-834-0377,4.コンビニ・スーパー,
1173,セブンイレブン秋田卸町3丁目店,010-0061,秋田市,卸町3丁目1-2,,018-824-7322,4.コンビニ・スーパー,
1174,海と入り陽の宿帝水,010-0673,男鹿市,戸賀塩浜壺ヶ沢31,,0185-37-2331,21.その他,宿泊施設
1175,男鹿真山伝承館,010-0685,男鹿市,北浦真山字水喰沢97,,0185-33-3033,19.文化施設（美術館､博物館等）,
1176,元湯　雄山閣,010-0687,男鹿市,北浦湯本字草木原52,,0185-33-3121,21.その他,宿泊施設
1177,夕日温泉WAO,010-0401,男鹿市,野石字大場湯沢下1-17,,0185-47-2926,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1178,男鹿観光ホテル,010-0687,男鹿市,北浦湯本字草木原21,,0185-33-2121,21.その他,宿泊施設
1179,セイコーグランドホテル,010-0687,男鹿市,北浦湯本字草木原50-1,,0185-33-2131,21.その他,宿泊施設
1180,男鹿ホテル,010-0687,男鹿市,北浦湯本字草木原13-1,,0185-33-3101,21.その他,宿泊施設
1181,男鹿温泉交流会館五風,010-0687,男鹿市,北浦湯本字草木原21-2,,0185-33-3191,18.劇場、観覧場、映画館、演劇場,
1182,なまはげ御殿,010-0675,男鹿市,北浦入道崎字昆布浦2-69,,0185-38-2011,2.飲食店（酒類提供あり）,
1183,男鹿萬盛閣,010-0687,男鹿市,北浦湯本字草木原63-2,,0185-33-3161,21.その他,宿泊施設
1184,お菓子のゴンタロー　船越店,010-0341,男鹿市,船越内子224,,0185-35-2240,3.小売（お土産等）,
1185,お菓子のゴンタロー　船川本店,010-0511,男鹿市,船川港船川168-1,,0185-23-2333,3.小売（お土産等）,
