1815,中通温泉こまちの湯 ドーミーイン秋田,010-0001,秋田市,中通2-3-1,,018-835-6777,21.その他,宿泊施設
1816,コジマ×ビックカメラ卸団地店,010-0061,秋田市,卸町2-3-12,,018-883-1661,21.その他,家電
1817,北浦うきた商店,010-0683,男鹿市,北浦北浦字忍田78-1,,0185-47-7012,4.コンビニ・スーパー,
1818,里山のカフェ ににぎ,010-0685,男鹿市,北浦真山字塞の神下14番地,,0185-27-8422,3.小売(お土産等),
1819,比内地鶏生産責任者の店 本家あべや秋田店,010-0001,秋田市,中通1-4,エリアなかいち商業施設内1F,018-825-1180,2.飲食店(酒類提供あり),
1820,みや蔵,018-0121,にかほ市,象潟町大塩越36-1,,0184-43-4510,1.飲食店(酒類提供なし),
1821,木もれ陽のテラス,010-1421,秋田市,仁井田本町5-11-2,,018-826-0422,1.飲食店(酒類提供なし),
1822,クレアシオン,010-1421,秋田市,仁井田本町5-11-2,,018-826-0421,1.飲食店(酒類提供なし),
1823,MEGAドン・キホーテ横手店,013-0060,横手市,条里3-2-4,,0570-08-3211,21.その他,日用品
1824,かにの店カネヨシ,018-0121,にかほ市,象潟町大塩越36-1,,0184-43-3600,2.飲食店(酒類提供あり),
1825,ローソン秋田茨島六丁目店,010-0065,秋田市,茨島6-11-2,,018-866-4073,4.コンビニ・スーパー,
1826,ファミリーマート八郎潟上沖谷地店,018-1611,南秋田郡八郎潟町,字上沖谷地10-1,,018-855-4617,4.コンビニ・スーパー,
1827,ファミリーマート秋田雄和店,010-1201,秋田市,雄和田草川字太田2-1,,018-881-3006,4.コンビニ・スーパー,
1828,ファミリーマート平鹿総合病院通店,013-0061,横手市,横手町字五ノ口41-1,,0182-35-5460,4.コンビニ・スーパー,
1829,アメヤ珈琲 男鹿船越店,010-0341,男鹿市,船越一向207-219,,0185-47-7451,1.飲食店(酒類提供なし),
1830,あきた小坂屋!,017-0201,鹿角郡小坂町,小坂字五十刈1-22,,0186-29-2392,3.小売(お土産等),
1831,ココス大仙店,014-0032,大仙市,東川字堤下124?1,,0187-66-3136,2.飲食店(酒類提供あり),
1832,ファミリーマート秋田寺内神屋敷店,011-0905,秋田市,寺内字神屋敷79-3,,018-880-6116,4.コンビニ・スーパー,
1833,磯料理 福の家,010-0687,男鹿市,北浦湯本草木原61-5,,0185-33-4089,2.飲食店(酒類提供あり),
1834,ローソン秋田仁井田本町店,010-1421,秋田市,仁井田本町4-1-30,,018-829-2533,4.コンビニ・スーパー,
1835,ファミリーマート大曲上栄町店,014-0062,大仙市,大曲上栄町14-28,,0187-66-3132,4.コンビニ・スーパー,
1836,ココス大館店,017-0872,大館市,片山町3-6-7,,0186-44-5601,2.飲食店(酒類提供あり),
1837,ファミリーマート秋田手形山崎店,010-0854,秋田市,手形山崎町8-27,,018-884-0750,4.コンビニ・スーパー,
1838,四六時中 秋田御所野店,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-826-1778,2.飲食店(酒類提供あり),
1839,ファミリーマート大曲?根店,014-0072,大仙市,大曲?根字瀬下41番1,,0187-86-4288,4.コンビニ・スーパー,
1840,ファミリーマート大曲田町店,014-0046,大仙市,大曲田町5?23,,0187-66-3121,4.コンビニ・スーパー,
1841,パティスリーパルテール 秋田?武店,010-8505,秋田市,中通2-6-1,地下レストラン街,018-874-7174,1.飲食店(酒類提供なし),
1842,牛角 大館店,017-0841,大館市,大町91-1,,0186-45-1129,2.飲食店(酒類提供あり),
1843,ローソン秋田土崎港北7丁目店,011-0941,秋田市,土崎港北7-2-40,,018-845-4386,4.コンビニ・スーパー,
1844,ローソン本荘石脇店,015-0013,由利本荘市,石脇字田尻野4-19,,0184-22-5228,4.コンビニ・スーパー,
1845,ココス由利本荘店,015-0852,由利本荘市,一番堰146-1,,0184-28-0255,2.飲食店(酒類提供あり),
1846,ココス横手店,013-0043,横手市,安田字向田163-1,,0182-35-5250,2.飲食店(酒類提供あり),
1847,ファミリーマート潟上追分店,010-0101,潟上市,天王字?沼10-7,,018-872-4010,4.コンビニ・スーパー,
1848,ココスイオン秋田中央店,010-0029,秋田市,楢山川口境5-11,イオン秋田中央店1階,018-884-4662,2.飲食店(酒類提供あり),
1849,ローソン能代河?川南後田店,016-0171,能代市,河?川字南後田92-1,,0185-89-6410,4.コンビニ・スーパー,
1850,ローソン三種町鹿渡店,018-2104,山本郡三種町,鹿渡字昼寝道下129-9,,0185-72-2221,4.コンビニ・スーパー,
1851,ローソン 秋田山王けやき通店,010-0951,秋田市,山王1-7-4,,018-866-2338,4.コンビニ・スーパー,
1852,ローソン 秋田市役所店,010-1951,秋田市,山王1‐1‐1,,018-853-8780,4.コンビニ・スーパー,
1853,セブンイレブン鹿角八幡平店,018-5201,鹿角市,花輪字高井田44-15,,0186-22-2155,4.コンビニ・スーパー,
1854,ファミリーマート 秋田大館向町店,017-0828,大館市,字向町16-2,,0186-49-8005,4.コンビニ・スーパー,
1855,ファミリーマート雄勝インター店,019-0205,湯沢市,小野字大沢田281-2,,0183-78-6002,4.コンビニ・スーパー,
1856,ローソン にかほ象潟町大砂川店,018-0136,にかほ市,象潟町大砂川字釜道8-15,,0184-46-2620,4.コンビニ・スーパー,
1857,ローソン 本荘薬師堂店,015-0041,由利本荘市,薬師堂字堂の下14-1,,0184-23-5355,4.コンビニ・スーパー,
1858,ファミリーマート 鹿角腰廻店,018-5421,鹿角市,十和田大湯字欠田2-3,,0186-30-4866,4.コンビニ・スーパー,
1859,ローソン 鹿角十和田末広店,018-5337,鹿角市,十和田末広字平ノ下37-3,,0186-35-5585,4.コンビニ・スーパー,
1860,ローソン 大館東台店,017-0803,大館市,東台5-2-106,,0186-42-4611,4.コンビニ・スーパー,
1861,ローソン 大館山館店,017-0838,大館市,山館字大川添8,,0186-43-9936,4.コンビニ・スーパー,
1862,ikkaイオンモール大曲店,014-0033,大仙市,和合字坪立177,イオンモール大曲1F,0187-66-3960,21.その他,衣料品店
1863,お食事処 さくら亭,016-0179,能代市,浅内字鵜川堺5,,0185-53-3933,2.飲食店(酒類提供あり),
1864,ファミリーマート 大仙若竹町店,014-0016,大仙市,若竹町33-4,,0187-66-8070,4.コンビニ・スーパー,
1865,ファミリーマート 秋田小坂町店,017-0201,鹿角郡小坂町,小坂字五十刈4-1,,0186-30-7383,4.コンビニ・スーパー,
1866,株式会社 嶋田ハム 直売店,014-0016,大仙市,若竹町26-23,,0187-63-1576,4.コンビニ・スーパー,
1867,ファミリーマート十文字バイパス店,019-0521,横手市,十文字町?下32-3,,0182-55-2468,4.コンビニ・スーパー,
1868,ファミリーマート十文字?原店,019-0503,横手市,十文字町?原一番町101,,0182-55-2020,4.コンビニ・スーパー,
1869,ファミリーマート大仙協和店,019-2431,大仙市,協和峰吉川字?窪27,,018-881-9310,4.コンビニ・スーパー,
1870,ファミリーマート横手大雄店,013-0342,横手市,大雄字精兵村3-1,,0182-56-5050,4.コンビニ・スーパー,
1871,ファミリーマート秋田八橋本町店,010-0973,秋田市,八橋本町3?20?23,,018-883-3930,4.コンビニ・スーパー,
1872,ファミリーマート本荘インター店,015-0061,由利本荘市,二十六木字根木田280-2,,0184-25-7030,4.コンビニ・スーパー,
1873,ローソン秋田外旭川天徳寺通店,010-0802,秋田市,外旭川字水口36-1,,018-888-6182,4.コンビニ・スーパー,
1874,横手豚玄亭,013-0022,横手市,四日町3-7,,0182-35-5729,2.飲食店(酒類提供あり),
1875,ファミリーマート大館大田面店,017-0041,大館市,字大田面388-1,,0186-44-6030,4.コンビニ・スーパー,
1876,ファミリーマート大館川口店,017-0877,大館市,立花字屋敷前73,,0186-49-8640,4.コンビニ・スーパー,
1877,ファミリーマート秋田大館中山店,017-0839,大館市,中山字兎沢20-6,,0186-44-5188,4.コンビニ・スーパー,
1878,ローソン能代扇田店,016-0122,能代市,扇田字道地141-1,,0185-70-1112,4.コンビニ・スーパー,
1879,ローソン能代落合店,016-0014,能代市,落合字上悪土166,,0185-89-1563,4.コンビニ・スーパー,
1880,ローソン能代鰄渕店,016-0121,能代市,鰄渕字家の下96-1,,0185-58-5515,4.コンビニ・スーパー,
1881,ローソン能代八峰町八森店,018-2662,山本郡八峰町,八森字新浜田183-1,,0185-77-4100,4.コンビニ・スーパー,
1882,ローソン秋田山王中園店,010-0953,秋田市,山王中園町11-20,,018-864-0720,4.コンビニ・スーパー,
1883,ローソン秋田仁井田栄町店,010-1433,秋田市,仁井田栄町10-24,,018-839-2686,4.コンビニ・スーパー,
1884,ファミリーマート横手十文字店,019-0513,横手市,十文字町植田字羽場37?4,,0182-55-3051,4.コンビニ・スーパー,
1885,ファミリーマート鹿角毛馬内店,018-5334,鹿角市,十和田毛馬内字下寄熊35-1,,0186-30-3536,4.コンビニ・スーパー,
1886,(株)タクシーセンターあい外旭川営業所,010-0803,秋田市,外旭川柳3-16,,018-866-5225,7.ハイヤー・タクシー,
1887,nico,010-0951,秋田市,山王4丁目6?26山王9Kビル1?C,,018-863-3352,1.飲食店(酒類提供なし),
1888,平和軒,018-5201,鹿角市,花輪字下花輪8-2,,0186-23-2309,1.飲食店(酒類提供なし),
1889,ファミリーマート大曲白金店,014-0015,大仙市,大曲白金町9-22,,0187-66-3266,4.コンビニ・スーパー,
1890,ファミリーマート潟上天王上江川店,010-0201,潟上市,天王字上江川78-6,,018-872-2460,4.コンビニ・スーパー,
1891,ファミリーマート天王出?店,010-0201,潟上市,天王字上出?17-1,,018-870-6121,4.コンビニ・スーパー,
1892,ファミリーマート大曲金谷町店,014-0054,大仙市,大曲金谷町12-19,,0187-66-8453,4.コンビニ・スーパー,
1893,WRアザレア,012-0841,湯沢市,大町2-1-7,,0183-73-8000,21.その他,ファッション
1894,WANTS AND FREE,013-0064,横手市,赤坂字館ノ下99-1,,0182-33-6500,21.その他,ファッション
1895,レイネアザレア,015-0077,由利本荘市,本田仲町72,,0184-27-2600,21.その他,ファッション
1896,クラッシー,015-0072,由利本荘市,裏尾崎町8-2,,0184-24-1300,3.小売(お土産等),
1897,三吉農園加工所,014-1201,仙北市,田沢湖生保内字小杉沢口29-2,,080-9646-9903,3.小売(お土産等),
1898,ファミリーマート湯沢インター店,012-0037,湯沢市,字沖鶴194-1,,0183-79-6220,4.コンビニ・スーパー,
1899,ファミリーマート秋田飯島中央店,011-0941,秋田市,土崎港北3丁目17-41,,018-880-6648,4.コンビニ・スーパー,
1900,ローソン向能代店,016-0013,能代市,向能代字上野越110-1,,0185-52-8369,4.コンビニ・スーパー,
1901,ローソン秋田八橋大畑店,010-0962,秋田市,八橋大畑1-4-25,,018-823-5363,4.コンビニ・スーパー,
1902,パティズ,010-1413,秋田市,御所野地蔵田1-1-1,,018-853-7581,21.その他,雑貨店
1903,ファミリーマート横手雄物川店,013-0212,横手市,雄物川町造山字社ノ前60-1,,0182-56-2625,4.コンビニ・スーパー,
1904,ファミリーマート横手前郷東店,013-0042,横手市,前郷字上在家32-1,,0182-35-4171,4.コンビニ・スーパー,
1905,ファミリーマート横手平鹿上吉田店,013-0101,横手市,平鹿町上吉田字朴田260,,0182-56-3310,4.コンビニ・スーパー,
1906,ファミリーマート横手赤坂店,013-0064,横手市,赤坂大沼下89,,0182-35-4108,4.コンビニ・スーパー,
1907,ローソン秋田新屋大川町店,010-1632,秋田市,新屋大川町10-23,,018-828-0332,4.コンビニ・スーパー,
1908,ファミリーマート秋田土崎港相染町店,011-0951,秋田市,土崎港相染町字中谷地169-2,,018-880-0420,4.コンビニ・スーパー,
1909,合同会社ダイセン創農,014-0207,大仙市,?野字高畑95-1,,0187-49-8250,3.小売(お土産等),
1910,韓国家庭料理 ソナム,018-0121,にかほ市,象潟町字大塩越36-1,,0184-74-6299,2.飲食店(酒類提供あり),
1911,ファミリーマート大館ドーム前店,017-0032,大館市,字新綱20,,0186-45-2888,4.コンビニ・スーパー,
1912,ローソン 秋田御野場新町店,010-1425,秋田市,御野場新町2-8-23,,018-839-8801,4.コンビニ・スーパー,
1913,ローソン 秋田新屋鳥木町店,010-1633,秋田市,新屋鳥木町3-1,,018-838-1171,4.コンビニ・スーパー,
1914,T'S COLLECTION 大曲店,014-0033,大仙市,和合字坪立177,,0187-73-5180,21.その他,衣料品店
1915,レプシィム イオンモール大曲店,014-0033,大仙市,和合字坪立177,,0187-66-3618,21.その他,衣料品店
1916,ジーユー イオンモール大曲店,014-0033,大仙市,和合字坪立177,,0187-66-3578,21.その他,衣服店
1917,グローバルワーク イオンモール大曲店,014-0033,大仙市,和合字坪立177,,0187-66-3615,21.その他,衣料品店
1918,スーパースポーツゼビオ イオンモール大曲店,014-0033,大仙市,和合字坪立177,,0187-66-3727,21.その他,スポーツ用品店
1919,築地銀だこ(大曲),014-0033,大仙市,和合字坪立177,,0187-66-3281,1.飲食店(酒類提供なし),
1920,越後秘蔵麺 無尽蔵(大曲),014-0033,大仙市,和合字坪立177,,0187-66-3629,1.飲食店(酒類提供なし),
Unnamed: 0,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
1921,喜久水庵(大曲),014-0033,大仙市,和合字坪立177,,0187-66-3634,1.飲食店(酒類提供なし),
1922,リンガーハット(大曲),014-0033,大仙市,和合字坪立177,,0187-66-8050,1.飲食店(酒類提供なし),
1923,四六時中 イオンモール大曲店,014-0033,大仙市,和合字坪立177,,0187-66-3576,2.飲食店(酒類提供あり),
1924,ミスタードーナッツ(大曲),014-0033,大仙市,和合字坪立177,,0187-62-1079,1.飲食店(酒類提供なし),
1925,COPIN(大曲),014-0033,大仙市,和合字坪立177,,0187-66-1171,3.小売(お土産等),
1926,果汁工房 果琳(大曲),014-0033,大仙市,和合字坪立177,,0187-88-8459,1.飲食店(酒類提供なし),
1927,ファミリーマート潟上昭和店,018-1402,潟上市,潟上市昭和乱橋字開上関田41,,018-855-5310,4.コンビニ・スーパー,
1928,八柳商店,014-0317,仙北市,角館町下中町2,,0187-53-2653,3.小売(お土産等),
1929,NOODLE BAR オクト,010-0875,秋田市,千秋明徳町2-10,,018-893-6675,2.飲食店(酒類提供あり),
1930,食彩町家館,014-0323,仙北市,角館町横町42-1,,0187-49-6106,2.飲食店(酒類提供あり),
1931,ローソン上小阿仁店,018-4411,北秋田郡上小阿仁,福館字山根91-1,,0186-77-3263,4.コンビニ・スーパー,
1932,ファミリーマート秋田新屋日吉町店,010-1622,秋田市,新屋日吉町16-1,,018-888-8466,4.コンビニ・スーパー,
1933,あさひタクシー本社営業所,010-0063,秋田市,牛島?1-1-11,,018-835-1800,7.ハイヤー・タクシー,
1934,ローソン能代昭南町店,016-0897,能代市,昭南町1-17,,0185-52-5243,4.コンビニ・スーパー,
1935,酒のこん,010-0932,秋田市,川元開和町4-9,,018-862-6254,3.小売(お土産等),
1936,ローソン 象潟才の神店,018-0129,にかほ市,象潟町才の神18-1,,0184-43-6032,4.コンビニ・スーパー,
1937,ローソン 雄和石田店,010-1222,秋田市,雄和石田字中大部17-1,,018-886-3667,4.コンビニ・スーパー,
1938,三平,014-0027,大仙市,大曲通町11-12,MAビル1F,0187-62-4000,2.飲食店(酒類提供あり),
1939,マツダ石油,018-4301,北秋田市,米内沢諏訪岱40-1,,0186-72-3271,21.その他,ガソリンスタンド
1940,ナイス外旭川店,010-0802,秋田市,外旭川字三後田67,,018-868-2611,4.コンビニ・スーパー,
1941,岩倉温泉,019-1944,大仙市,南外字湯元1,,0187-74-2345,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
1942,十和田プリンスホテル,018-5511,鹿角郡小坂町,十和田湖?湖畔,,0176-75-3117,21.その他,宿泊施設
1943,十和田プリンスホテル フロント,018-5511,鹿角郡小坂町,十和田湖?湖畔,,0176-75-3117,21.その他,宿泊施設
1944,十和田プリンスホテル 売店,018-5511,鹿角郡小坂町,十和田湖?湖畔,,0176-75-3117,3.小売(お土産等),
1945,十和田プリンスホテル メインダイニングルーム,018-5511,鹿角郡小坂町,十和田湖?湖畔,,0176-75-3117,2.飲食店(酒類提供あり),
1946,ユニクロ メルシティ潟上店,018-1504,潟上市,飯田川飯塚字上堤敷76-10,,018-855-5255,21.その他,アパレル
1947,ダイニング万葉,010-8530,秋田市,中通7-2-1,,018-831-2225,2.飲食店(酒類提供あり),
1948,レストランクオーレ,010-8530,秋田市,中通7-2-1,,018-831-2225,2.飲食店(酒類提供あり),
1949,こにとく,014-1201,仙北市,田沢湖生保内水尻53-5,,090-5180-5219,2.飲食店(酒類提供あり),
1950,そば五郎,014-1201,仙北市,田沢湖生保内字水尻59-40,,0187-43-3511,2.飲食店(酒類提供あり),
1951,ヤマダデンキ テックランド大館店,017-0033,大館市,下網327-1,,0186-44-6400,21.その他,家電
1952,イオンモール大曲,014-0033,大仙市,和合字坪立177,,0187-66-3642,4.コンビニ・スーパー,
1953,日景温泉,017-0001,大館市,?走37,,0186-51-2011,21.その他,宿泊施設
1954,ミュージアムショップStraw Hat,019-0701,横手市,増田町増田字新町285,,0182-45-5569,3.小売(お土産等),
1955,ひなたエキス,014-1201,仙北市,田沢湖生保内字下高野61-33,,080-1695-4110,3.小売(お土産等),
1956,さくら庵,013-0064,横手市,赤坂字富ヶ沢62-46,秋田ふるさと村,0182-33-8800,3.小売(お土産等),
1957,さくら工房,014-0346,仙北市,角館町川原町13-10,,0187-55-5241,3.小売(お土産等),
1958,稲庭古来堂?柳家店,014-0331,仙北市,角館町表町下丁3,?柳家内,0187-52-8015,2.飲食店(酒類提供あり),
1959,ローソン大曲福住町店,014-0014,大仙市,大曲福住町8-2,,0187-86-3586,4.コンビニ・スーパー,
1960,オステリアムーリベッキ,010-0001,秋田市,中通2-2-30,,018-853-5600,2.飲食店(酒類提供あり),
1961,満留善,014-0318,仙北市,角館町中町5,,0187-54-2065,2.飲食店(酒類提供あり),
1962,柵の湯,014-0112,大仙市,板見内一ツ森149,,0187-69-3311,3.小売(お土産等),
1963,ブルワリーショップ,014-0112,秋田市,大町1-2-40,,018-862-1841,3.小売(お土産等),
1964,藤八堂,014-0323,仙北市,角館町横町20,,0187-53-2610,2.飲食店(酒類提供あり),
1965,?穴,010-0922,秋田市,旭北栄町1-48,,018-838-1062,2.飲食店(酒類提供あり),
1966,駒ヶ岳温泉,014-1201,仙北市,田沢湖生保内字下高野80-68,,0187-46-2688,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
1967,鮎乃家,019-0205,湯沢市,小野字大山沢15,,0183-52-3243,2.飲食店(酒類提供あり),
1968,鮨バー金?,010-0921,秋田市,大町5-1-6,,018-823-6030,2.飲食店(酒類提供あり),
1969,八幡平パークサービスセンター,014-1204,仙北市,田沢湖田沢字大深沢国有林,,090-2270-8205,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
1970,八幡平ビジターセンター,018-5141,鹿角市,八幡平字大沼2,,0186-31-2714,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
1971,中里温泉,019-1603,大仙市,太田町中里字新屋敷114,,0187-88-1471,21.その他,
1972,クアドーム ザブーン,010-0824,秋田市,仁別字マンタラメ213,,018-827-2301,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
1973,秋田市太平山スキー場オーパス,010-0824,秋田市,仁別字蛇馬目沢111,,018-827-2221,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
1974,森林学習館,010-0824,秋田市,仁別字マンタラメ210,,018-827-2111,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
1975,太平山リゾート公園総合案内所,010-0824,秋田市,仁別字小水沢126,,018-827-2270,14.体験型アクティビティ,
1976,レストランテルサ,010-1413,秋田市,御所野地蔵田3-1-1,,018-826-1800,1.飲食店(酒類提供なし),
1977,田沢湖ローズパークホテル,010-1419,仙北市,?木町?明寺字潟尻78,,0187-47-2211,21.その他,
1978,ナイスフォンテAKITA店,010-0001,秋田市,中通2-8-1,フォンテAKITA,018-825-5055,4.コンビニ・スーパー,
1979,ローソン 大仙太田町店,019-1604,大仙市,太田町駒場字米桶田291-2,,0187-86-9174,4.コンビニ・スーパー,
1980,ローソン ?木?明寺店,014-0512,仙北市,?木町上荒井字新屋3-1,,0187-47-2174,4.コンビニ・スーパー,
1981,ローソン 六郷バイパス店,019-1231,仙北郡美郷町,南町高野16-1,,0187-87-8087,4.コンビニ・スーパー,
1982,薬王堂 大館比内店,018-5701,大館市,比内町扇田字新?岡44番地,,0186-57-8901,21.その他,薬局
1983,ろくごうドライブイン,019-1404,仙北郡美郷町,六郷字赤城90,,0187-84-2277,2.飲食店(酒類提供あり),
1984,十和田湖畔SS,018-5511,鹿角郡小坂町,十和田湖字休平64-6,,0176-75-2701,21.その他,ガソリンスタンド
1985,モンベル秋田美郷店,019-1302,仙北郡美郷町,金沢字下館120-2,道の駅美郷内,0182-23-9250,21.その他,アウトドア用品
1986,有限会社あみもと,010-0921,秋田市,大町1-1-17,,018-863-6785,2.飲食店(酒類提供あり),
1987,味一番,019-0567,横手市,十文字町?上42-5,,090-5353-2502,2.飲食店(酒類提供あり),
1988,秋田ホテル スカイグリルブッフェレストラン 空桜 SORA,010-0001,秋田市,中通2-6-1,,018-832-1111,21.その他,宿泊施設
1989,iiwaiiwa collection,011-0943,秋田市,土崎港南2-3-41,イオン土崎港店1階,018-846-7788,21.その他,雑貨店
1990,ママイクコ イオン秋田中央,010-0029,秋田市,楢山川口境5-11,イオン秋田中央 1F,018-884-7025,21.その他,雑貨店
1991,ママイクコ イオンモール秋田,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-6531,21.その他,雑貨店
1992,メガ仁井田店,010-1421,秋田市,仁井田本町5-9-26,,018-889-9110,21.その他,ドラッグストア
1993,メガ能代中央店,016-0862,能代市,寿域?根39-8,,0185-89-1660,21.その他,ドラッグストア
1994,メガ土崎店,011-0951,秋田市,土崎港相染町字沼端77-76,,018-880-2115,21.その他,ドラッグストア
1995,メガ新国道店,011-0964,秋田市,八橋鯲沼町10-11,,018-838-5100,21.その他,ドラッグストア
1996,神宮寺観光果樹園,019-1701,大仙市,神宮寺字福島48-1,,0187-87-1266,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
1997,阿仁川あゆセンター,018-4301,北秋田市,米内沢字柳原39-1,,0186-60-5522,3.小売(お土産等),
1998,阿仁スキー場,018-4624,北秋田市,阿仁鍵ノ滝字鍵ノ滝79-5,,0186-82-3311,16.スポーツ,
1999,発酵小路 田屋,015-0011,由利本荘市,石脇字石脇279,,0184-74-8207,2.飲食店(酒類提供あり),
2000,笹川商店,010-0001,秋田市,中通4-7-35,秋田市?市場内,018-833-8869,3.小売(お土産等),
2001,ユニクロ秋田茨島店,010-0065,秋田市,茨島1丁目1-35,,018-896-7950,21.その他,アパレル
2002,蔵Cafeレストラン康瓏堂,017-0046,大館市,清水1丁目3-37,,0186-59-8319,1.飲食店(酒類提供なし),
2003,舟木タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2004,成田タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2005,MORI TAXI,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2006,菅原タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2007,堀井タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2008,河部タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2009,佐邦タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2010,サトウタクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2011,湯瀬タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2012,石塚タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2013,?巻タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2014,佐々正タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2015,KAZU TAXI,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2016,池田タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2017,勝タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2018,渡辺タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2019,桑原タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2020,徳田タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2021,ササキタクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2022,川口タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2023,伊隆タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2024,秋・大漁タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2025,小山タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2026,大塚タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2027,藤武タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2028,油川タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2029,谷藤タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2030,小松タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2031,福田タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2032,保坂タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2033,佐貞タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2034,高橋タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2035,ふじわらタクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2036,中島タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2037,佐雅タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2038,鎌田タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2039,工藤タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2040,門脇タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
Unnamed: 0,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
2041,木村タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2042,宮崎タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2043,熊地タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2044,阿仁マタギタクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2045,ナガヒロタクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
2046,石井タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
